right_pedal_smoothness,distance,left_power_phase,right_power_phase_peak,temperature,position_lat,left_torque_effectiveness,unknown_61,heart_rate,left_right_balance,enhanced_speed,right_pco,right_power_phase,timestamp,left_pco,right_torque_effectiveness,enhanced_altitude,left_pedal_smoothness,fractional_cadence,unknown_66,accumulated_power,left_power_phase_peak,position_long,altitude,speed,power,cadence,jtc
0.0,0.39,0.0,0.0,19,429214400,0.0,2567,,0.0,0.0,0.0,0.0,2024-06-21 19:42:27+00:00,0.0,0.0,13.399999999999977,0.0,0.0,-53,,,1664588672,13.399999999999977,0.0,,,2024-06-22 04:42:27+09:00
0.0,0.69,0.0,0.0,19,429214430,0.0,2578,,0.0,0.0,0.0,0.0,2024-06-21 19:42:28+00:00,0.0,0.0,15.600000000000023,0.0,0.0,-53,,,1664588653,15.600000000000023,0.0,,,2024-06-22 04:42:28+09:00
0.0,0.75,0.0,0.0,19,429214437,0.0,2579,,0.0,0.0,0.0,0.0,2024-06-21 19:42:29+00:00,0.0,0.0,15.799999999999955,0.0,0.0,-53,,,1664588655,15.799999999999955,0.0,,,2024-06-22 04:42:29+09:00
0.0,0.75,0.0,0.0,19,429214437,0.0,2581,,0.0,0.0,0.0,0.0,2024-06-21 19:42:30+00:00,0.0,0.0,16.200000000000045,0.0,0.0,-53,,,1664588655,16.200000000000045,0.0,,,2024-06-22 04:42:30+09:00
0.0,0.75,0.0,0.0,19,429214437,0.0,2581,,0.0,0.0,0.0,0.0,2024-06-21 19:42:31+00:00,0.0,0.0,16.200000000000045,0.0,0.0,-53,,,1664588655,16.200000000000045,0.0,,,2024-06-22 04:42:31+09:00
0.0,0.75,0.0,0.0,19,429214437,0.0,2581,,0.0,0.0,0.0,0.0,2024-06-21 19:42:32+00:00,0.0,0.0,16.200000000000045,0.0,0.0,-53,,,1664588655,16.200000000000045,0.0,,,2024-06-22 04:42:32+09:00
0.0,0.75,0.0,0.0,19,429214437,0.0,2581,,0.0,0.0,0.0,0.0,2024-06-21 19:42:33+00:00,0.0,0.0,16.200000000000045,0.0,0.0,-53,,,1664588655,16.200000000000045,0.0,,,2024-06-22 04:42:33+09:00
0.0,0.75,0.0,0.0,19,429214437,0.0,2581,,0.0,0.0,0.0,0.0,2024-06-21 19:42:34+00:00,0.0,0.0,16.200000000000045,0.0,0.0,-52,,,1664588655,16.200000000000045,0.0,,,2024-06-22 04:42:34+09:00
0.0,0.75,0.0,0.0,19,429214437,0.0,2581,,0.0,0.0,0.0,0.0,2024-06-21 19:42:35+00:00,0.0,0.0,16.200000000000045,0.0,0.0,-53,,,1664588655,16.200000000000045,0.0,,,2024-06-22 04:42:35+09:00
0.0,0.75,0.0,0.0,19,429214437,0.0,2581,,0.0,0.0,0.0,0.0,2024-06-21 19:42:36+00:00,0.0,0.0,16.200000000000045,0.0,0.0,-53,,,1664588655,16.200000000000045,0.0,,,2024-06-22 04:42:36+09:00
