right_pedal_smoothness,distance,left_power_phase,right_power_phase_peak,temperature,position_lat,left_torque_effectiveness,unknown_61,heart_rate,left_right_balance,enhanced_speed,right_pco,right_power_phase,timestamp,left_pco,right_torque_effectiveness,enhanced_altitude,left_pedal_smoothness,fractional_cadence,unknown_66,accumulated_power,left_power_phase_peak,position_long,altitude,speed,power,cadence,jtc
0.0,0.04,0.0,0.0,19,429215109,0.0,2558,,0.0,0.0,0.0,0.0,2024-06-21 20:18:51+00:00,0.0,0.0,11.600000000000023,0.0,0.0,-81,,,1664587659,11.600000000000023,0.0,,,2024-06-22 05:18:51+09:00
0.0,0.2,0.0,0.0,19,429215112,0.0,2562,,0.0,0.0,0.0,0.0,2024-06-21 20:18:52+00:00,0.0,0.0,12.399999999999977,0.0,0.0,-81,,,1664587638,12.399999999999977,0.0,,,2024-06-22 05:18:52+09:00
0.0,0.32,0.0,0.0,19,429215115,0.0,2563,,0.0,0.0,0.0,0.0,2024-06-21 20:18:53+00:00,0.0,0.0,12.600000000000023,0.0,0.0,-81,,,1664587622,12.600000000000023,0.0,,,2024-06-22 05:18:53+09:00
0.0,0.4,0.0,0.0,19,429215116,0.0,2565,,0.0,0.0,0.0,0.0,2024-06-21 20:18:54+00:00,0.0,0.0,13.0,0.0,0.0,-81,,,1664587611,13.0,0.0,,,2024-06-22 05:18:54+09:00
0.0,0.53,0.0,0.0,19,429215116,0.0,2566,,0.0,0.0,0.0,0.0,2024-06-21 20:18:55+00:00,0.0,0.0,13.200000000000045,0.0,0.0,-81,,,1664587594,13.200000000000045,0.0,,,2024-06-22 05:18:55+09:00
0.0,0.69,0.0,0.0,19,429215117,0.0,2566,,0.0,0.0,0.0,0.0,2024-06-21 20:18:56+00:00,0.0,0.0,13.200000000000045,0.0,0.0,-81,,,1664587572,13.200000000000045,0.0,,,2024-06-22 05:18:56+09:00
0.0,0.78,0.0,0.0,19,429215122,0.0,2566,,0.0,0.0,0.0,0.0,2024-06-21 20:18:57+00:00,0.0,0.0,13.200000000000045,0.0,0.0,-81,,,1664587560,13.200000000000045,0.0,,,2024-06-22 05:18:57+09:00
0.0,0.9,0.0,0.0,19,429215123,0.0,2566,,0.0,0.0,0.0,0.0,2024-06-21 20:18:58+00:00,0.0,0.0,13.200000000000045,0.0,0.0,-81,,,1664587545,13.200000000000045,0.0,,,2024-06-22 05:18:58+09:00
0.0,0.92,0.0,0.0,19,429215124,0.0,2566,,0.0,0.0,0.0,0.0,2024-06-21 20:18:59+00:00,0.0,0.0,13.200000000000045,0.0,0.0,-80,,,1664587542,13.200000000000045,0.0,0,,2024-06-22 05:18:59+09:00
0.0,0.93,0.0,0.0,19,429215124,0.0,2566,,0.0,0.0,0.0,0.0,2024-06-21 20:19:00+00:00,0.0,0.0,13.200000000000045,0.0,0.0,-80,,,1664587541,13.200000000000045,0.0,0,,2024-06-22 05:19:00+09:00
0.0,0.97,0.0,0.0,19,429215124,0.0,2568,,0.0,0.0,0.0,0.0,2024-06-21 20:19:01+00:00,0.0,0.0,13.600000000000023,0.0,0.0,-81,159,,1664587535,13.600000000000023,0.0,159,79,2024-06-22 05:19:01+09:00
,1.04,0.0,0.0,19,429215124,,2567,,168,0.0,0.0,0.0,2024-06-21 20:19:02+00:00,0.0,,13.399999999999977,,0.0,-80,429,,1664587526,13.399999999999977,0.0,270,86,2024-06-22 05:19:02+09:00
,1.32,"(None, None)","(None, None)",19,429215102,,2566,,168,1.754,0,"(None, None)",2024-06-21 20:19:03+00:00,0,,13.200000000000045,,0.0,-80,760,"(None, None)",1664587551,13.200000000000045,1.754,331,96,2024-06-22 05:19:03+09:00
36.5,5.53,"(None, None)","(None, None)",19,429214799,100.0,2566,,168,3.284,0,"(None, None)",2024-06-21 20:19:04+00:00,0,99.5,13.200000000000045,37.0,0.0,-80,1117,"(None, None)",1664587966,13.200000000000045,3.284,357,98,2024-06-22 05:19:04+09:00
36.5,10.62,"(0.0, 357.1875055810548)","(None, None)",19,429214433,100.0,2566,,168,4.591,0,"(None, None)",2024-06-21 20:19:05+00:00,0,99.5,13.200000000000045,37.0,0.0,-80,1117,"(0.0, 357.1875055810548)",1664588467,13.200000000000045,4.591,234,98,2024-06-22 05:19:05+09:00
